                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.23509,                0.18857,                0.86393,                0.55835,                0.34904,                0.36432,                0.12646,                 2.6844,                 2.3854,                 3.1822,                0.00571,                0.00571,                0.00571
                     67,                0.23183,                0.18738,                0.87163,                0.58082,                 0.3785,                0.40572,                0.15778,                 2.5089,                 2.1679,                 2.8696,               0.005644,               0.005644,               0.005644
                     68,                0.23115,                0.18593,                0.86725,                0.54319,                0.37997,                0.39965,                0.12387,                 2.6394,                 2.2115,                 3.1094,               0.005578,               0.005578,               0.005578
                     69,                0.23009,                0.18332,                0.86664,                0.50427,                0.39028,                0.37416,                0.11127,                 2.6789,                 2.3307,                 3.3201,               0.005512,               0.005512,               0.005512
                     70,                0.23056,                0.18714,                0.86512,                0.51373,                0.35788,                0.36339,                 0.1118,                 2.6867,                 2.3717,                  3.471,               0.005446,               0.005446,               0.005446
                     71,                  0.227,                0.18491,                0.86404,                0.45353,                0.34904,                0.32659,                0.11243,                 2.6671,                  2.484,                 3.3584,                0.00538,                0.00538,                0.00538
                     72,                0.22749,                0.18119,                0.86493,                 0.5864,                0.36966,                0.37213,                0.10375,                 2.6137,                 2.5626,                 3.1991,               0.005314,               0.005314,               0.005314
                     73,                0.22414,                0.17882,                0.86316,                0.52235,                 0.3785,                0.35377,                 0.1037,                 2.7099,                 2.5345,                 3.2945,               0.005248,               0.005248,               0.005248
                     74,                0.22396,                0.18076,                0.86341,                0.53369,                0.33726,                0.36579,                0.13109,                 2.5828,                 2.6591,                 3.2774,               0.005182,               0.005182,               0.005182
                     75,                0.22377,                0.18189,                0.86411,                0.62834,                0.36082,                 0.3757,                0.13293,                 2.5194,                 2.3029,                  3.134,               0.005116,               0.005116,               0.005116
                     76,                0.22068,                0.17704,                0.86402,                0.61844,                0.38586,                0.42954,                0.14039,                 2.6252,                 2.1388,                 3.1899,                0.00505,                0.00505,                0.00505
