                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.29368,                0.23815,                0.89656,                0.44168,                0.30486,                 0.2974,                0.06228,                 2.6787,                 3.1032,                 3.2997,              0.0071785,              0.0071785,              0.0071785
                     59,                0.29891,                0.24519,                0.90126,                0.48557,                0.31959,                0.35652,                 0.0974,                 2.6816,                   2.16,                 3.3177,               0.007129,               0.007129,               0.007129
                     60,                0.30073,                0.24804,                0.90142,                0.51138,                0.40076,                0.36921,                 0.0862,                 2.7846,                 2.2669,                 3.4398,              0.0070795,              0.0070795,              0.0070795
                     61,                0.29601,                0.24841,                0.89523,                0.63992,                0.28571,                0.34619,                 0.0931,                 2.7157,                 2.2001,                 3.5201,                0.00703,                0.00703,                0.00703
                     62,                0.29405,                0.24572,                0.89957,                0.45988,                0.27835,                0.24495,                0.05849,                 2.7314,                 2.7667,                 3.4354,              0.0069805,              0.0069805,              0.0069805
                     63,                0.29129,                0.23763,                0.89802,                0.52217,                0.28424,                0.31126,                0.07921,                 2.7965,                 2.7739,                 3.3354,               0.006931,               0.006931,               0.006931
                     64,                0.29554,                0.23845,                0.89836,                0.59026,                0.36524,                0.40763,                0.13205,                 2.5233,                 2.2507,                 3.1084,              0.0068815,              0.0068815,              0.0068815
                     65,                0.28709,                0.23837,                0.89781,                0.65156,                0.26215,                  0.332,                 0.1151,                  2.652,                 2.6647,                 3.3358,               0.006832,               0.006832,               0.006832
                     66,                0.29121,                0.23863,                0.89069,                0.75515,                0.25479,                 0.3061,                0.08408,                  2.838,                 2.9628,                 3.4741,              0.0067825,              0.0067825,              0.0067825
                     67,                0.28929,                0.23734,                0.89854,                0.81806,                0.29455,                0.38588,                0.14099,                 2.5961,                 2.2845,                 3.3259,               0.006733,               0.006733,               0.006733
                     68,                0.29172,                0.23754,                0.89382,                0.48409,                0.34021,                0.33439,                0.07907,                 2.7266,                 2.4682,                 3.4283,              0.0066835,              0.0066835,              0.0066835
                     69,                0.28754,                0.23081,                0.89596,                0.65448,                0.29161,                0.33047,                 0.0745,                 2.9213,                 2.8036,                 3.6257,               0.006634,               0.006634,               0.006634
                     70,                0.28498,                 0.2318,                 0.8914,                 0.6047,                 0.3623,                0.42249,                0.11378,                 2.6799,                 2.1816,                 3.2102,              0.0065845,              0.0065845,              0.0065845
                     71,                0.28638,                0.23253,                0.88931,                0.69063,                0.32842,                0.37134,                0.08557,                 2.7559,                 2.2942,                 3.2041,               0.006535,               0.006535,               0.006535
                     72,                0.28706,                0.23134,                0.88861,                0.66532,                0.35641,                0.42529,                 0.1161,                 2.6769,                 2.5314,                 3.3484,              0.0064855,              0.0064855,              0.0064855
                     73,                0.28568,                0.22905,                0.88661,                0.62342,                0.38144,                0.43241,                0.13705,                 2.6605,                  2.298,                 3.2301,               0.006436,               0.006436,               0.006436
                     74,                0.28114,                 0.2296,                0.88442,                0.57654,                0.37703,                0.37548,                0.09307,                 2.7307,                 2.6017,                 3.3224,              0.0063865,              0.0063865,              0.0063865
                     75,                0.27904,                0.22482,                0.88537,                0.59277,                0.39912,                0.41802,                0.11841,                 2.6535,                 2.5746,                 3.1542,               0.006337,               0.006337,               0.006337
                     76,                0.27761,                0.22335,                0.88792,                0.61142,                0.32548,                 0.3403,                0.08599,                 2.8882,                 2.6889,                  3.383,              0.0062875,              0.0062875,              0.0062875
                     77,                0.28064,                0.22514,                0.89079,                0.57651,                 0.3669,                0.39413,                0.10587,                 2.6523,                  2.408,                  3.146,               0.006238,               0.006238,               0.006238
                     78,                0.27845,                0.22579,                0.89103,                0.58507,                0.38292,                 0.4241,                0.12901,                 2.4969,                 2.2488,                 3.0034,              0.0061885,              0.0061885,              0.0061885
                     79,                 0.2733,                0.22364,                0.88946,                0.57042,                 0.3168,                0.36716,                0.10068,                 2.6487,                  2.757,                 3.2673,               0.006139,               0.006139,               0.006139
                     80,                0.27541,                0.22348,                0.88841,                0.52041,                0.31664,                0.31305,                0.07241,                 2.7293,                 2.5973,                 3.4907,              0.0060895,              0.0060895,              0.0060895
                     81,                0.27519,                0.21988,                0.89089,                0.63029,                0.35346,                  0.416,                0.12426,                 2.6271,                 2.5987,                 3.3537,                0.00604,                0.00604,                0.00604
                     82,                0.27342,                0.21946,                 0.8865,                0.73445,                0.29735,                0.39139,                0.15542,                 2.5008,                 2.4719,                 3.0815,              0.0059905,              0.0059905,              0.0059905
                     83,                0.27206,                0.21989,                0.88749,                 0.5984,                0.39175,                0.41343,                0.14602,                 2.6054,                 2.4334,                 3.1568,               0.005941,               0.005941,               0.005941
                     84,                0.27113,                0.21733,                0.88385,                0.48362,                0.30339,                0.31606,                0.09064,                 2.9006,                 2.8753,                 3.5424,              0.0058915,              0.0058915,              0.0058915
                     85,                 0.2663,                0.21731,                 0.8809,                0.68016,                0.30339,                0.37654,                0.11925,                 2.6346,                 2.3879,                 3.1881,               0.005842,               0.005842,               0.005842
                     86,                0.27061,                0.22057,                0.88375,                0.76592,                0.29013,                0.37587,                0.12548,                 2.7392,                 2.5078,                 3.5735,              0.0057925,              0.0057925,              0.0057925
